package name,file,class,type,cbo,totalMethodsQty,nosi,parenthesizedExpsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,modifiers,nof,nom,fanin,fanout,ca,ce,I,D,is_CD
junit.extensions,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\extensions,junit.extensions.TestSetup,class,15,22,0,0,2,4,2,4,3,24,1,9,3,1,0.25,0.61,0
junit.framework,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\framework\TestSuite.java,junit.framework.TestSuite,class,61,185,128,10,41,14,3,1038,29,190,59,44,24,5,0.17,0.55,1
junit.runner,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\runner\Version.java,junit.runner.Version,class,7,38,23,1,9,3,0,1027,7,38,6,6,3,2,0.4,0.15,1
junit.textui,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\textui\TestRunner.java,junit.textui.TestRunner,class,15,35,11,1,11,3,0,2,6,35,2,12,8,2,0.2,0.42,0
net.sourceforge.pmd.cpd,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\cpd\JavaTokenizer.java,net.sourceforge.pmd.cpd.JavaTokenizer$JavaTokenFilter,innerclass,23,25,6,1,2,6,0,32,36,38,5,5,0,1,1,0,0
net.sourceforge.pmd.lang.java,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\JavaLanguageModule.java,net.sourceforge.pmd.lang.java.JavaLanguageModule,class,2,1,0,0,0,0,0,1,2,1,4,0,4,6,0.6,0.3,0
net.sourceforge.pmd.lang.java.ast,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\TypesFromAst.java,net.sourceforge.pmd.lang.java.ast.TypesFromAst,class,1874,1225,303,87,103,77,0,20035,99,1277,1741,506,28,16,0.36,0.44,1
net.sourceforge.pmd.lang.java.ast.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\internal\ReportingStrategy.java,net.sourceforge.pmd.lang.java.ast.internal.ReportingStrategy,interface,69,59,10,0,3,10,1,22,17,100,20,69,3,3,0.5,0.28,1
net.sourceforge.pmd.lang.java.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\internal\JavaLanguageHandler.java,net.sourceforge.pmd.lang.java.internal.JavaLanguageHandler$JavaMetricsProvider,innerclass,82,45,20,3,12,4,1,71,15,63,13,51,3,8,0.73,0.11,1
net.sourceforge.pmd.lang.java.javadoc,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\javadoc\JavadocTag.java,net.sourceforge.pmd.lang.java.javadoc.JavadocTag,class,1,3,0,0,0,1,0,17,11,3,3,1,1,0,0,1,0
net.sourceforge.pmd.lang.java.metrics,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\AbstractJavaOperationMetric.java,net.sourceforge.pmd.lang.java.metrics.AbstractJavaOperationMetric,class,16,8,0,2,0,2,0,3075,0,8,0,5,1,6,0.86,0.19,0
net.sourceforge.pmd.lang.java.metrics.api,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\api\JavaOperationMetric.java,net.sourceforge.pmd.lang.java.metrics.api.JavaOperationMetric,interface,2,0,0,0,0,0,0,2,0,0,0,0,3,2,0.4,0.1,0
net.sourceforge.pmd.lang.java.metrics.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\internal\WocMetric.java,net.sourceforge.pmd.lang.java.metrics.internal.WocMetric,class,77,24,1,2,13,5,0,307,3,44,2,29,1,3,0.75,0.25,1
net.sourceforge.pmd.lang.java.metrics.internal.visitors,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\internal\visitors\TccAttributeAccessCollector.java,net.sourceforge.pmd.lang.java.metrics.internal.visitors.TccAttributeAccessCollector,class,108,78,16,33,12,15,0,6,11,78,2,80,0,2,1,0,0
net.sourceforge.pmd.lang.java.multifile.signature,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\multifile\signature\JavaSignature.java,net.sourceforge.pmd.lang.java.multifile.signature.JavaSignature,class,23,31,20,6,12,2,0,2118,13,38,13,10,2,2,0.5,0.25,1
net.sourceforge.pmd.lang.java.rule,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\JavaRuleViolation.java,net.sourceforge.pmd.lang.java.rule.JavaRuleViolation,class,94,59,12,7,4,19,0,7177,13,59,1,39,11,3,0.21,0.12,0
net.sourceforge.pmd.lang.java.rule.bestpractices,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\bestpractices\UseCollectionIsEmptyRule.java,net.sourceforge.pmd.lang.java.rule.bestpractices.UseCollectionIsEmptyRule,class,552,296,59,50,42,116,1,1135,88,393,25,362,0,8,1,0.01,0
net.sourceforge.pmd.lang.java.rule.codestyle,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\UnnecessaryReturnRule.java,net.sourceforge.pmd.lang.java.rule.codestyle.UnnecessaryReturnRule,class,261,161,50,26,40,72,0,1081,57,161,4,119,0,5,1,0.01,0
net.sourceforge.pmd.lang.java.rule.design,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\design\UseUtilityClassRule.java,net.sourceforge.pmd.lang.java.rule.design.UseUtilityClassRule,class,258,155,23,13,23,57,0,70,103,186,6,153,0,6,1,0,0
net.sourceforge.pmd.lang.java.rule.documentation,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\documentation\CommentSizeRule.java,net.sourceforge.pmd.lang.java.rule.documentation.CommentSizeRule,class,46,39,19,4,11,9,0,1028,26,43,1,27,0,3,0,0.08,0
net.sourceforge.pmd.lang.java.rule.errorprone,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\UselessOperationOnImmutableRule.java,net.sourceforge.pmd.lang.java.rule.errorprone.UselessOperationOnImmutableRule,class,379,253,55,45,50,117,0,196,106,286,21,211,0,3,1,0.01,0
net.sourceforge.pmd.lang.java.rule.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\internal\JavaRuleViolationFactory.java,net.sourceforge.pmd.lang.java.rule.internal.JavaRuleViolationFactory,class,31,16,9,1,2,6,1,2091,5,20,3,7,1,3,0.75,0.25,1
net.sourceforge.pmd.lang.java.rule.multithreading,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\multithreading\UnsynchronizedStaticFormatterRule.java,net.sourceforge.pmd.lang.java.rule.multithreading.UnsynchronizedStaticFormatterRule,class,53,16,3,6,2,19,0,3,9,16,0,35,0,3,1,0,0
net.sourceforge.pmd.lang.java.rule.performance,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\performance\UseStringBufferLengthRule.java,net.sourceforge.pmd.lang.java.rule.performance.UseStringBufferLengthRule,class,241,95,42,35,12,62,0,28,13,101,12,148,2,4,0.67,0.33,0
net.sourceforge.pmd.lang.java.rule.regex,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\regex\RegexHelper.java,net.sourceforge.pmd.lang.java.rule.regex.RegexHelper,class,1,3,1,0,0,3,0,17,0,3,0,0,0,0,0,1,0
net.sourceforge.pmd.lang.java.rule.security,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\security\TypeResTestRule.java,net.sourceforge.pmd.lang.java.rule.security.TypeResTestRule$State,innerclass,42,19,7,4,13,16,0,47,13,21,4,28,0,4,1,0,1
net.sourceforge.pmd.lang.java.rule.xpath.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\xpath\internal\TypeIsFunction.java,net.sourceforge.pmd.lang.java.rule.xpath.internal.TypeIsFunction,class,24,23,7,0,0,1,3,1059,7,27,6,5,0,2,1,0.2,1
net.sourceforge.pmd.lang.java.symbols,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\SymbolVisitor.java,net.sourceforge.pmd.lang.java.symbols.SymbolVisitor,interface,123,92,3,2,1,4,1,15,3,93,183,30,9,2,0.18,0.18,1
net.sourceforge.pmd.lang.java.symbols.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\internal\UnresolvedClassStore.java,net.sourceforge.pmd.lang.java.symbols.internal.UnresolvedClassStore,class,135,121,21,2,13,6,7,3309,57,201,44,83,4,2,0.33,0.52,1
net.sourceforge.pmd.lang.java.symbols.internal.asm,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\internal\asm\TypeSigParser.java,net.sourceforge.pmd.lang.java.symbols.internal.asm.TypeSigParser$ParseFunction,interface,233,231,57,16,30,27,2,7332,119,306,76,131,0,4,1,0.26,0
net.sourceforge.pmd.lang.java.symbols.internal.ast,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\internal\ast\SymbolResolutionPass.java,net.sourceforge.pmd.lang.java.symbols.internal.ast.SymbolResolutionPass,class,183,90,29,9,11,7,0,4273,28,90,24,77,0,6,1,0.27,1
net.sourceforge.pmd.lang.java.symbols.table,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\table\JSymbolTable.java,net.sourceforge.pmd.lang.java.symbols.table.JSymbolTable,interface,6,3,0,0,0,0,0,1,0,3,10,0,3,1,0.25,0.25,0
net.sourceforge.pmd.lang.java.symbols.table.coreimpl,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\table\coreimpl\ShadowChainRoot.java,net.sourceforge.pmd.lang.java.symbols.table.coreimpl.ShadowChainRoot,class,143,137,28,4,8,16,2,1113,29,191,52,41,4,1,0.2,0.47,0
net.sourceforge.pmd.lang.java.symbols.table.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\table\internal\SymTableFactory.java,net.sourceforge.pmd.lang.java.symbols.table.internal.SymTableFactory,class,156,113,64,6,18,13,8,104,38,165,33,115,3,7,0.7,0.24,1
net.sourceforge.pmd.lang.java.symboltable,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symboltable\VariableNameDeclaration.java,net.sourceforge.pmd.lang.java.symboltable.VariableNameDeclaration,class,224,201,23,44,51,54,1,2139,50,227,98,106,8,5,0.38,0.48,1
net.sourceforge.pmd.lang.java.typeresolution,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\typeresolution\PMDASMClassLoader.java,net.sourceforge.pmd.lang.java.typeresolution.PMDASMClassLoader,class,9,8,1,0,2,5,0,18,4,8,8,2,3,2,0.4,0.6,0
net.sourceforge.pmd.lang.java.typeresolution.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\typeresolution\internal\NullableClassLoader.java,net.sourceforge.pmd.lang.java.typeresolution.internal.NullableClassLoader,interface,3,4,1,0,0,1,0,1,2,7,2,2,1,0,0,0.5,0
net.sourceforge.pmd.lang.java.typeresolution.visitors,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\typeresolution\visitors\PMDASMVisitor.java,net.sourceforge.pmd.lang.java.typeresolution.visitors.PMDASMVisitor$PMDSignatureVisitor,innerclass,28,44,0,0,2,4,0,41,15,74,6,5,0,1,1,0,0
net.sourceforge.pmd.lang.java.types,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\WildcardTypeImpl.java,net.sourceforge.pmd.lang.java.types.WildcardTypeImpl,class,610,690,317,67,40,60,2,3794,148,855,517,338,13,8,0.38,0.38,1
net.sourceforge.pmd.lang.java.types.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\internal\InternalMethodTypeItf.java,net.sourceforge.pmd.lang.java.types.internal.InternalMethodTypeItf,interface,4,7,0,0,0,0,0,1,0,7,0,1,2,1,0.33,0.33,0
net.sourceforge.pmd.lang.java.types.internal.infer,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\internal\infer\VarWalkStrategy.java,net.sourceforge.pmd.lang.java.types.internal.infer.VarWalkStrategy,interface,369,367,183,23,64,46,5,2277,155,539,167,233,5,5,0.5,0.13,1
net.sourceforge.pmd.lang.java.types.internal.infer.ast,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\internal\infer\ast\SwitchMirror.java,net.sourceforge.pmd.lang.java.types.internal.infer.ast.SwitchMirror,class,192,78,28,3,3,12,0,3121,10,90,24,76,1,6,0.86,0.09,1
org.apache.log4j,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\helpers\PatternParser.java,org.apache.log4j.helpers.PatternParser,class,176,325,169,41,140,89,0,4234,187,361,158,125,12,5,0.29,0.61,1
org.apache.log4j.config,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\helpers\PatternParser.java,org.apache.log4j.helpers.PatternParser$CategoryPatternConverter,innerclass,18,10,3,1,1,5,0,26,6,11,5,11,2,3,0.6,0.2,1
org.apache.log4j.helpers,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\net\SimpleSocketServer.java,org.apache.log4j.net.SimpleSocketServer,class,175,461,672,26,197,74,0,4212,161,461,122,100,11,3,0.21,0.66,1
org.apache.log4j.jdbc,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\net\SMTPAppender.java,org.apache.log4j.net.SMTPAppender,class,24,48,8,1,9,5,1,1,18,49,0,9,0,2,1,0,0
org.apache.log4j.net,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\ClassNamePatternConverter.java,org.apache.log4j.pattern.ClassNamePatternConverter,class,89,153,113,17,82,56,0,87,122,163,22,56,0,6,1,0,0
org.apache.log4j.nt,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\DatePatternConverter.java,org.apache.log4j.pattern.DatePatternConverter,class,6,5,3,5,1,1,0,17,9,8,2,5,0,3,1,0,0
org.apache.log4j.or,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\FormattingInfo.java,org.apache.log4j.pattern.FormattingInfo,class,8,16,4,2,5,5,0,61,9,16,5,5,6,3,0.33,0.42,1
org.apache.log4j.or.jms,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\FullLocationPatternConverter.java,org.apache.log4j.pattern.FullLocationPatternConverter,class,4,3,0,0,0,1,0,17,1,3,1,3,0,1,1,0,0
org.apache.log4j.or.sax,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\IntegerPatternConverter.java,org.apache.log4j.pattern.IntegerPatternConverter,class,2,3,1,1,0,1,0,17,1,3,1,1,0,2,1,0,0
org.apache.log4j.pattern,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\rewrite\RewriteAppender.java,org.apache.log4j.rewrite.RewriteAppender,class,157,180,128,66,79,63,0,4368,111,205,43,95,2,4,0.67,0.23,0
org.apache.log4j.performance,F:\detectionresult\project\log4j-trunk\src\performance\java\org\apache\log4j\performance\SystemTime.java,org.apache.log4j.performance.SystemTime,class,10,24,20,8,27,7,0,13,17,26,5,7,1,0,0,0.2,0
org.apache.log4j.rewrite,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\spi\Configurator.java,org.apache.log4j.spi.Configurator,interface,13,26,9,4,15,5,0,5,6,26,3,8,0,5,1,0.2,0
org.apache.log4j.spi,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\varia\DenyAllFilter.java,org.apache.log4j.varia.DenyAllFilter,class,75,166,37,4,12,17,0,1110,57,166,158,53,12,3,0.2,0.22,1
org.apache.log4j.varia,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\WriterAppender.java,org.apache.log4j.WriterAppender,class,44,72,37,0,15,21,0,9,30,72,7,33,0,3,1,0,0
org.apache.log4j.xml,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\xml\XMLLayout.java,org.apache.log4j.xml.XMLLayout,class,51,50,112,8,35,11,5,7,43,61,13,30,2,7,0.78,0.06,0
org.apache.log4j.xml.examples,F:\detectionresult\project\log4j-trunk\src\main\javadoc\org\apache\log4j\xml\examples\XMLSample.java,XMLSample,class,7,8,6,0,10,2,0,2,2,8,2,6,12,5,0.29,0.61,0
org.jext,F:\detectionresult\project\jext-main\lib\org\jext\Utilities.java,org.jext.Utilities,class,180,383,515,93,177,72,7,1065,132,412,306,123,24,21,0.47,0.41,1
org.jext.actions,F:\detectionresult\project\jext-main\lib\org\jext\actions\WordCount.java,org.jext.actions.WordCount,class,86,55,83,31,78,61,0,21,6,55,1,11,2,6,0.75,0.25,1
org.jext.console,F:\detectionresult\project\jext-main\lib\org\jext\console\HistoryModel.java,org.jext.console.HistoryModel,class,43,81,49,13,45,33,3,6,98,122,30,16,5,3,0.38,0.62,1
org.jext.console.commands,F:\detectionresult\project\jext-main\lib\org\jext\console\commands\RunCommand.java,org.jext.console.commands.RunCommand,class,44,39,27,1,7,20,0,1037,14,39,1,35,1,3,0.75,0.17,0
org.jext.dawn,F:\detectionresult\project\jext-main\lib\org\jext\dawn\Function.java,org.jext.dawn.Function,class,13,70,28,17,27,12,4,2054,25,75,12,12,14,1,0.07,0.73,0
org.jext.dawn.array,F:\detectionresult\project\jext-main\lib\org\jext\dawn\array\SetElementAtFunction.java,org.jext.dawn.array.SetElementAtFunction,class,22,18,0,0,4,5,0,9,0,18,0,0,0,1,1,0,0
org.jext.dawn.err,F:\detectionresult\project\jext-main\lib\org\jext\dawn\err\TryCatchFunction.java,org.jext.dawn.err.TryCatchFunction,class,15,8,5,0,6,8,0,4,0,8,3,3,0,1,1,0,0
org.jext.dawn.io,F:\detectionresult\project\jext-main\lib\org\jext\dawn\io\WriteLineFunction.java,org.jext.dawn.io.WriteLineFunction,class,41,38,17,6,17,7,0,15,1,38,10,10,0,1,1,0,0
org.jext.dawn.javaccess,F:\detectionresult\project\jext-main\lib\org\jext\dawn\javaccess\NullFunction.java,org.jext.dawn.javaccess.NullFunction,class,21,16,1,51,21,22,1,7,1,17,2,2,0,1,1,0,0
org.jext.dawn.loop,F:\detectionresult\project\jext-main\lib\org\jext\dawn\loop\WhileFunction.java,org.jext.dawn.loop.WhileFunction,class,12,6,6,0,18,20,0,3,0,6,0,0,0,1,1,0,0
org.jext.dawn.math,F:\detectionresult\project\jext-main\lib\org\jext\dawn\math\TimesFunction.java,org.jext.dawn.math.TimesFunction,class,42,42,8,3,11,8,0,21,0,42,0,0,0,1,1,0,0
org.jext.dawn.naming,F:\detectionresult\project\jext-main\lib\org\jext\dawn\naming\ToLiteralFunction.java,org.jext.dawn.naming.ToLiteralFunction,class,12,8,1,0,6,14,0,4,0,8,0,0,0,1,1,0,0
org.jext.dawn.stack,F:\detectionresult\project\jext-main\lib\org\jext\dawn\stack\UnrotFunction.java,org.jext.dawn.stack.UnrotFunction,class,34,36,1,1,15,11,0,18,0,36,0,0,0,1,1,0,0
org.jext.dawn.string,F:\detectionresult\project\jext-main\lib\org\jext\dawn\string\UpperCaseFunction.java,org.jext.dawn.string.UpperCaseFunction,class,42,40,0,0,2,8,0,20,0,40,0,0,0,1,1,0,0
org.jext.dawn.test,F:\detectionresult\project\jext-main\lib\org\jext\dawn\test\XorFunction.java,org.jext.dawn.test.XorFunction,class,42,40,2,10,6,7,0,20,0,40,0,0,0,1,1,0,0
org.jext.dawn.util,F:\detectionresult\project\jext-main\lib\org\jext\dawn\util\WaitFunction.java,org.jext.dawn.util.WaitFunction,class,37,30,6,4,5,6,0,15,1,30,2,2,0,3,1,0,0
org.jext.event,F:\detectionresult\project\jext-main\lib\org\jext\event\JextListener.java,org.jext.event.JextListener,interface,3,6,0,0,0,0,0,2,19,6,10,3,5,1,0.17,0.33,1
org.jext.gui,F:\detectionresult\project\jext-main\lib\org\jext\gui\VoidComponent.java,org.jext.gui.VoidComponent,class,78,226,87,20,40,37,2,1077,111,251,44,45,11,3,0.21,0.69,1
org.jext.menus,F:\detectionresult\project\jext-main\lib\org\jext\menus\TemplatesMenu.java,org.jext.menus.TemplatesMenu,class,14,12,22,3,17,7,0,3,11,12,1,10,3,3,0.5,0.5,1
org.jext.misc,F:\detectionresult\project\jext-main\lib\org\jext\misc\ZipExplorer.java,org.jext.misc.ZipExplorer$ZipTableModel,innerclass,181,259,204,64,131,98,13,1077,253,351,78,120,6,7,0.54,0.37,1
org.jext.oneclick,F:\detectionresult\project\jext-main\lib\org\jext\oneclick\OneAutoIndent.java,org.jext.oneclick.OneAutoIndent,class,4,2,2,0,0,0,0,1,0,2,0,2,1,2,0.67,0.33,0
