package name,file,class,type,cbo,rfc,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,nof,nopf,nom,nopm,loc,wmc,nc,dit,lcom,fanin,fanout,ca,ce,A,I,D,is_FC
junit.runner,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\runner\Version.java,junit.runner.Version,class,7,50,0.002645503,0.002645503,38,15,20,3,8,7,36,4,0,4,7,4,1,1,0,5,1,0,23,29,3,8,8,1,35,13,38,9,25,3,0,0,0,228,1027,0,7,1,38,20,290,57,0,0,-0.574712644,6,6,3,2,0.75,0.4,0.15,0
junit.textui,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\textui\TestRunner.java,junit.textui.TestRunner,class,15,53,0.026552288,0.026552288,35,4,21,0,12,2,35,0,0,1,6,3,3,1,0,2,3,0,11,11,2,3,3,1,36,14,31,11,24,3,0,0,0,192,2,0,6,3,35,21,247,49,0,0,0.253267974,2,12,8,2,0.33,0.2,0.42,0
net.sourceforge.pmd.cpd,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\cpd\JavaTokenizer.java,net.sourceforge.pmd.cpd.JavaTokenizer$JavaTokenFilter,innerclass,23,34,0.409722223,0.47916666,25,0,10,6,6,3,19,0,1,0,21,2,2,17,0,2,2,0,6,7,0,20,0,1,9,6,47,2,26,6,0,3,0,167,32,0,36,2,38,12,380,98,0,0,-0.163636364,5,5,0,1,0,1,0,0
net.sourceforge.pmd.lang.java,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\JavaLanguageModule.java,net.sourceforge.pmd.lang.java.JavaLanguageModule,class,2,2,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,24,15,2,0,2,0,0,0,0,20,1,0,2,2,1,1,25,1,0,0,0,4,0,4,6,0.1,0.6,0.3,0
net.sourceforge.pmd.lang.java.ast,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\TypesFromAst.java,net.sourceforge.pmd.lang.java.ast.TypesFromAst,class,1874,1265,-0.028108865,-0.025589083,1225,89,604,69,152,400,1156,1,2,0,95,15,2,87,2,4,30,0,303,1139,26,202,2,87,147,229,437,103,390,77,0,18,19,12385,20035,3,99,3,1277,623,8361,1765,349,639,-0.539670611,1741,506,28,16,0.2,0.36,0.44,0
net.sourceforge.pmd.lang.java.ast.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\internal\ReportingStrategy.java,net.sourceforge.pmd.lang.java.ast.internal.ReportingStrategy,interface,69,83,0.25272727,0.4,59,6,47,6,1,5,53,0,0,0,11,2,0,11,0,0,11,0,10,64,4,14,1,0,22,6,24,3,23,10,1,5,1,360,22,1,17,0,100,82,707,185,0,0,-0.651851852,20,69,3,3,0.22,0.5,0.28,1
net.sourceforge.pmd.lang.java.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\internal\JavaLanguageHandler.java,net.sourceforge.pmd.lang.java.internal.JavaLanguageHandler$JavaMetricsProvider,innerclass,82,75,0.047899162,0.075840332,45,7,41,2,0,2,44,0,0,0,14,6,1,13,0,0,13,0,20,53,0,5,3,3,27,1,28,12,29,4,1,2,6,251,71,0,15,1,63,57,308,79,0,0,0.403636364,13,51,3,8,0.17,0.73,0.11,0
net.sourceforge.pmd.lang.java.javadoc,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\javadoc\JavadocTag.java,net.sourceforge.pmd.lang.java.javadoc.JavadocTag,class,1,4,1,1,3,2,2,1,0,0,2,0,0,0,11,9,10,1,0,0,11,0,0,2,0,0,0,0,17,0,11,0,11,1,0,0,0,54,17,0,11,10,3,2,27,4,0,0,0,3,1,1,0,0,0,1,0
net.sourceforge.pmd.lang.java.metrics,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\AbstractJavaOperationMetric.java,net.sourceforge.pmd.lang.java.metrics.AbstractJavaOperationMetric,class,16,13,-0.333333333,-0.333333333,8,0,3,1,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,2,0,2,4,0,4,2,0,0,0,150,3075,0,0,0,8,3,93,12,2,2,-1,0,5,1,6,0.33,0.86,0.19,0
net.sourceforge.pmd.lang.java.metrics.api,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\api\JavaOperationMetric.java,net.sourceforge.pmd.lang.java.metrics.api.JavaOperationMetric,interface,2,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,12,0,0,0,-1,0,0,3,2,0.5,0.4,0.1,0
