package name,file,class,type,cbo,lcc,staticMethodsQty,nosi,returnQty,numbersQty,uniqueWordsQty,modifiers,nopm,fanin,fanout,ca,A,I,D,is_UD
org.quickserver.sql,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\sql\DBPoolUtil.java,org.quickserver.sql.DBPoolUtil,interface,0,0,0,0,0,0,67,1,4,0,0,2,1,0,0,1
org.quickserver.swing,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\swing\SensitiveInput.java,org.quickserver.swing.SensitiveInput,class,4,0.25,9,13,3,25,115,2,15,7,3,4,0,0.2,0.8,1
org.quickserver.util,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\TextFile.java,org.quickserver.util.TextFile,class,9,0.322954823,43,53,50,49,356,23,48,28,6,8,0.12,0.2,0.68,0
org.quickserver.util.io,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\io\PasswordField.java,org.quickserver.util.io.PasswordField,class,14,0.395604408,6,19,47,85,323,5,34,6,5,6,0,0.4,0.6,1
org.quickserver.util.logging,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\logging\SimpleTextFormatter.java,org.quickserver.util.logging.SimpleTextFormatter,class,12,0.512820518,3,18,15,13,252,19,26,5,9,0,0,1,0,0
org.quickserver.util.pool,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\pool\QSObjectPoolMaker.java,org.quickserver.util.pool.QSObjectPoolMaker,interface,22,0.114065634,1,6,28,10,292,17,50,9,4,4,0.33,0.43,0.24,1
org.quickserver.util.pool.thread,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\pool\thread\ThreadObjectFactory.java,org.quickserver.util.pool.thread.ThreadObjectFactory,class,14,0.679197983,1,5,23,11,235,11,34,7,9,0,0,0,1,0
org.quickserver.util.pool.thread.app,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\pool\thread\app\QSUncaughtExceptionHandler.java,org.quickserver.util.pool.thread.app.QSUncaughtExceptionHandler,class,4,1,11,2,6,3,71,3,14,2,2,2,0,0.71,0.19,1
org.quickserver.util.xmlreader,F:\detectionresult\project\QuickServer-Main-master\src\main\org\quickserver\util\xmlreader\TrustStoreInfo.java,org.quickserver.util.xmlreader.TrustStoreInfo,class,105,0.166156673,6,11,152,52,1890,28,275,56,58,7,0,0.42,0.58,1
net.sourceforge.pmd.cpd,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\cpd\JavaTokenizer.java,net.sourceforge.pmd.cpd.JavaTokenizer$JavaTokenFilter,innerclass,23,0.47916666,0,6,7,6,167,32,12,5,5,0,0,1,0,0
net.sourceforge.pmd.lang.java,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\JavaLanguageModule.java,net.sourceforge.pmd.lang.java.JavaLanguageModule,class,2,NaN,0,0,0,15,20,1,1,4,0,4,0.1,0.6,0.3,0
net.sourceforge.pmd.lang.java.ast,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\TypesFromAst.java,net.sourceforge.pmd.lang.java.ast.TypesFromAst,class,1874,-0.025589083,89,303,1139,229,12385,20035,623,1741,506,28,0.2,0.36,0.44,1
net.sourceforge.pmd.lang.java.ast.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\internal\ReportingStrategy.java,net.sourceforge.pmd.lang.java.ast.internal.ReportingStrategy,interface,69,0.4,6,10,64,6,360,22,82,20,69,3,0.22,0.5,0.28,0
net.sourceforge.pmd.lang.java.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\internal\JavaLanguageHandler.java,net.sourceforge.pmd.lang.java.internal.JavaLanguageHandler$JavaMetricsProvider,innerclass,82,0.075840332,7,20,53,1,251,71,57,13,51,3,0.17,0.73,0.11,0
net.sourceforge.pmd.lang.java.javadoc,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\javadoc\JavadocTag.java,net.sourceforge.pmd.lang.java.javadoc.JavadocTag,class,1,1,2,0,2,0,54,17,2,3,1,1,0,0,1,1
net.sourceforge.pmd.lang.java.metrics,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\AbstractJavaOperationMetric.java,net.sourceforge.pmd.lang.java.metrics.AbstractJavaOperationMetric,class,16,-0.333333333,0,0,8,2,150,3075,3,0,5,1,0.33,0.86,0.19,0
net.sourceforge.pmd.lang.java.metrics.api,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\api\JavaOperationMetric.java,net.sourceforge.pmd.lang.java.metrics.api.JavaOperationMetric,interface,2,-1,0,0,0,0,20,2,0,0,0,3,0.5,0.4,0.1,0
net.sourceforge.pmd.lang.java.metrics.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\internal\WocMetric.java,net.sourceforge.pmd.lang.java.metrics.internal.WocMetric,class,77,-0.363636364,1,1,25,19,530,307,39,2,29,1,0,0.75,0.25,1
net.sourceforge.pmd.lang.java.metrics.internal.visitors,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\internal\visitors\TccAttributeAccessCollector.java,net.sourceforge.pmd.lang.java.metrics.internal.visitors.TccAttributeAccessCollector,class,108,0.205698015,0,16,80,31,350,6,63,2,80,0,0,1,0,0
net.sourceforge.pmd.lang.java.multifile.signature,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\multifile\signature\JavaSignature.java,net.sourceforge.pmd.lang.java.multifile.signature.JavaSignature,class,23,0.8,4,20,13,10,255,2118,28,13,10,2,0.25,0.5,0.25,0
net.sourceforge.pmd.lang.java.rule,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\JavaRuleViolation.java,net.sourceforge.pmd.lang.java.rule.JavaRuleViolation,class,94,0.253472223,6,12,70,13,628,7177,27,1,39,11,0.67,0.21,0.12,0
net.sourceforge.pmd.lang.java.rule.bestpractices,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\bestpractices\UseCollectionIsEmptyRule.java,net.sourceforge.pmd.lang.java.rule.bestpractices.UseCollectionIsEmptyRule,class,552,0.260457517,15,59,385,201,2880,1135,140,25,362,0,0.1,1,0.01,0
net.sourceforge.pmd.lang.java.rule.codestyle,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\UnnecessaryReturnRule.java,net.sourceforge.pmd.lang.java.rule.codestyle.UnnecessaryReturnRule,class,261,0.235748793,11,50,216,99,1796,1081,72,4,119,0,0.01,1,0.01,0
net.sourceforge.pmd.lang.java.rule.design,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\design\UseUtilityClassRule.java,net.sourceforge.pmd.lang.java.rule.design.UseUtilityClassRule,class,258,0.397826087,7,23,190,148,1965,70,81,6,153,0,0,1,0,0
net.sourceforge.pmd.lang.java.rule.documentation,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\documentation\CommentSizeRule.java,net.sourceforge.pmd.lang.java.rule.documentation.CommentSizeRule,class,46,0.139880953,2,19,32,14,439,1028,19,1,27,0,0.08,0,0.08,0
