package name,file,class,type,wmc,is_LS
net.sourceforge.pmd.lang.java.symbols.internal.ast,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\internal\ast\SymbolResolutionPass.java,net.sourceforge.pmd.lang.java.symbols.internal.ast.SymbolResolutionPass,class,126,0
net.sourceforge.pmd.lang.java.symbols.table,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\table\JSymbolTable.java,net.sourceforge.pmd.lang.java.symbols.table.JSymbolTable,interface,3,1
net.sourceforge.pmd.lang.java.symbols.table.coreimpl,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\table\coreimpl\ShadowChainRoot.java,net.sourceforge.pmd.lang.java.symbols.table.coreimpl.ShadowChainRoot,class,252,0
net.sourceforge.pmd.lang.java.symbols.table.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symbols\table\internal\SymTableFactory.java,net.sourceforge.pmd.lang.java.symbols.table.internal.SymTableFactory,class,249,0
net.sourceforge.pmd.lang.java.symboltable,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\symboltable\VariableNameDeclaration.java,net.sourceforge.pmd.lang.java.symboltable.VariableNameDeclaration,class,489,0
net.sourceforge.pmd.lang.java.typeresolution,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\typeresolution\PMDASMClassLoader.java,net.sourceforge.pmd.lang.java.typeresolution.PMDASMClassLoader,class,16,1
net.sourceforge.pmd.lang.java.typeresolution.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\typeresolution\internal\NullableClassLoader.java,net.sourceforge.pmd.lang.java.typeresolution.internal.NullableClassLoader,interface,9,1
net.sourceforge.pmd.lang.java.typeresolution.visitors,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\typeresolution\visitors\PMDASMVisitor.java,net.sourceforge.pmd.lang.java.typeresolution.visitors.PMDASMVisitor$PMDSignatureVisitor,innerclass,98,0
net.sourceforge.pmd.lang.java.types,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\WildcardTypeImpl.java,net.sourceforge.pmd.lang.java.types.WildcardTypeImpl,class,1365,0
net.sourceforge.pmd.lang.java.types.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\internal\InternalMethodTypeItf.java,net.sourceforge.pmd.lang.java.types.internal.InternalMethodTypeItf,interface,7,1
net.sourceforge.pmd.lang.java.types.internal.infer,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\internal\infer\VarWalkStrategy.java,net.sourceforge.pmd.lang.java.types.internal.infer.VarWalkStrategy,interface,907,0
net.sourceforge.pmd.lang.java.types.internal.infer.ast,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\internal\infer\ast\SwitchMirror.java,net.sourceforge.pmd.lang.java.types.internal.infer.ast.SwitchMirror,class,133,0
org.apache.log4j,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\helpers\PatternParser.java,org.apache.log4j.helpers.PatternParser,class,773,0
org.apache.log4j.config,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\helpers\PatternParser.java,org.apache.log4j.helpers.PatternParser$CategoryPatternConverter,innerclass,24,1
org.apache.log4j.helpers,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\net\SimpleSocketServer.java,org.apache.log4j.net.SimpleSocketServer,class,922,0
org.apache.log4j.jdbc,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\net\SMTPAppender.java,org.apache.log4j.net.SMTPAppender,class,82,0
org.apache.log4j.net,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\ClassNamePatternConverter.java,org.apache.log4j.pattern.ClassNamePatternConverter,class,366,0
org.apache.log4j.nt,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\DatePatternConverter.java,org.apache.log4j.pattern.DatePatternConverter,class,14,1
org.apache.log4j.or,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\FormattingInfo.java,org.apache.log4j.pattern.FormattingInfo,class,24,0
org.apache.log4j.or.jms,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\FullLocationPatternConverter.java,org.apache.log4j.pattern.FullLocationPatternConverter,class,4,1
org.apache.log4j.or.sax,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\pattern\IntegerPatternConverter.java,org.apache.log4j.pattern.IntegerPatternConverter,class,5,1
org.apache.log4j.pattern,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\rewrite\RewriteAppender.java,org.apache.log4j.rewrite.RewriteAppender,class,405,0
org.apache.log4j.performance,F:\detectionresult\project\log4j-trunk\src\performance\java\org\apache\log4j\performance\SystemTime.java,org.apache.log4j.performance.SystemTime,class,40,0
org.apache.log4j.rewrite,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\spi\Configurator.java,org.apache.log4j.spi.Configurator,interface,39,1
org.apache.log4j.spi,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\varia\DenyAllFilter.java,org.apache.log4j.varia.DenyAllFilter,class,236,0
org.apache.log4j.varia,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\WriterAppender.java,org.apache.log4j.WriterAppender,class,117,0
org.apache.log4j.xml,F:\detectionresult\project\log4j-trunk\src\main\java\org\apache\log4j\xml\XMLLayout.java,org.apache.log4j.xml.XMLLayout,class,153,0
org.apache.log4j.xml.examples,F:\detectionresult\project\log4j-trunk\src\main\javadoc\org\apache\log4j\xml\examples\XMLSample.java,XMLSample,class,10,1
org.jext,F:\detectionresult\project\jext-main\lib\org\jext\Utilities.java,org.jext.Utilities,class,1032,0
org.jext.actions,F:\detectionresult\project\jext-main\lib\org\jext\actions\WordCount.java,org.jext.actions.WordCount,class,149,0
org.jext.console,F:\detectionresult\project\jext-main\lib\org\jext\console\HistoryModel.java,org.jext.console.HistoryModel,class,375,0
org.jext.console.commands,F:\detectionresult\project\jext-main\lib\org\jext\console\commands\RunCommand.java,org.jext.console.commands.RunCommand,class,59,0
org.jext.dawn,F:\detectionresult\project\jext-main\lib\org\jext\dawn\Function.java,org.jext.dawn.Function,class,166,0
org.jext.dawn.array,F:\detectionresult\project\jext-main\lib\org\jext\dawn\array\SetElementAtFunction.java,org.jext.dawn.array.SetElementAtFunction,class,19,1
org.jext.dawn.err,F:\detectionresult\project\jext-main\lib\org\jext\dawn\err\TryCatchFunction.java,org.jext.dawn.err.TryCatchFunction,class,32,1
org.jext.dawn.io,F:\detectionresult\project\jext-main\lib\org\jext\dawn\io\WriteLineFunction.java,org.jext.dawn.io.WriteLineFunction,class,54,0
org.jext.dawn.javaccess,F:\detectionresult\project\jext-main\lib\org\jext\dawn\javaccess\NullFunction.java,org.jext.dawn.javaccess.NullFunction,class,67,0
org.jext.dawn.loop,F:\detectionresult\project\jext-main\lib\org\jext\dawn\loop\WhileFunction.java,org.jext.dawn.loop.WhileFunction,class,70,1
org.jext.dawn.math,F:\detectionresult\project\jext-main\lib\org\jext\dawn\math\TimesFunction.java,org.jext.dawn.math.TimesFunction,class,48,0
org.jext.dawn.naming,F:\detectionresult\project\jext-main\lib\org\jext\dawn\naming\ToLiteralFunction.java,org.jext.dawn.naming.ToLiteralFunction,class,32,1
org.jext.dawn.stack,F:\detectionresult\project\jext-main\lib\org\jext\dawn\stack\UnrotFunction.java,org.jext.dawn.stack.UnrotFunction,class,53,0
org.jext.dawn.string,F:\detectionresult\project\jext-main\lib\org\jext\dawn\string\UpperCaseFunction.java,org.jext.dawn.string.UpperCaseFunction,class,49,0
org.jext.dawn.test,F:\detectionresult\project\jext-main\lib\org\jext\dawn\test\XorFunction.java,org.jext.dawn.test.XorFunction,class,66,0
org.jext.dawn.util,F:\detectionresult\project\jext-main\lib\org\jext\dawn\util\WaitFunction.java,org.jext.dawn.util.WaitFunction,class,33,1
org.jext.event,F:\detectionresult\project\jext-main\lib\org\jext\event\JextListener.java,org.jext.event.JextListener,interface,6,1
org.jext.gui,F:\detectionresult\project\jext-main\lib\org\jext\gui\VoidComponent.java,org.jext.gui.VoidComponent,class,361,0
org.jext.menus,F:\detectionresult\project\jext-main\lib\org\jext\menus\TemplatesMenu.java,org.jext.menus.TemplatesMenu,class,50,0
org.jext.misc,F:\detectionresult\project\jext-main\lib\org\jext\misc\ZipExplorer.java,org.jext.misc.ZipExplorer$ZipTableModel,innerclass,858,0
org.jext.oneclick,F:\detectionresult\project\jext-main\lib\org\jext\oneclick\OneAutoIndent.java,org.jext.oneclick.OneAutoIndent,class,2,1
org.jext.options,F:\detectionresult\project\jext-main\lib\org\jext\options\UIOptions.java,org.jext.options.UIOptions$SkinItem,innerclass,456,0
org.jext.print,F:\detectionresult\project\jext-main\lib\org\jext\print\PrintText.java,org.jext.print.PrintText$Page,innerclass,88,0
org.jext.project,F:\detectionresult\project\jext-main\lib\org\jext\project\ProjectManager.java,org.jext.project.ProjectManager,interface,135,0
org.jext.protocol.jextresource,F:\detectionresult\project\jext-main\lib\org\jext\protocol\jextresource\PluginResURLConnection.java,org.jext.protocol.jextresource.PluginResURLConnection,class,13,1
org.jext.scripting,F:\detectionresult\project\jext-main\lib\org\jext\scripting\Logger.java,org.jext.scripting.Logger,interface,21,1
org.jext.scripting.dawn,F:\detectionresult\project\jext-main\lib\org\jext\scripting\dawn\Run.java,org.jext.scripting.dawn.Run$ThreadExecuter,innerclass,25,0
org.jext.scripting.dawn.functions,F:\detectionresult\project\jext-main\lib\org\jext\scripting\dawn\functions\YesNoFunction.java,org.jext.scripting.dawn.functions.YesNoFunction,class,37,0
org.jext.scripting.python,F:\detectionresult\project\jext-main\lib\org\jext\scripting\python\Run.java,org.jext.scripting.python.Run,class,47,0
org.jext.search,F:\detectionresult\project\jext-main\lib\org\jext\search\SearchResult.java,org.jext.search.SearchResult,class,238,0
org.jext.textarea,F:\detectionresult\project\jext-main\lib\org\jext\textarea\ScrollUp.java,org.jext.textarea.ScrollUp,class,46,0
org.jext.toolbar,F:\detectionresult\project\jext-main\lib\org\jext\toolbar\JextToolBar.java,org.jext.toolbar.JextToolBar,class,33,0
org.jext.xinsert,F:\detectionresult\project\jext-main\lib\org\jext\xinsert\XTreeObject.java,org.jext.xinsert.XTreeObject,class,109,0
